,Latin word,Enlish word,Definition
0,rimusque,rimusque,
1,velox,swift,"{'Noun': ['United States meat-packer who began the use of refrigerated railroad cars (1839-1903', 'an English satirist born in Ireland (1667-1745', 'a small bird that resembles a swallow and is noted for its rapid flight', 'common western lizard; seen on logs or rocks'], 'Adjective': ['moving very fast']}"
2,frago,frago,
3,dego,go,"{'Noun': ['a time period for working (after which you will be relieved by someone else', 'street names for methylenedioxymethamphetamine', 'a usually brief attempt', ""a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters""], 'Verb': ['change location; move, travel, or proceed, also metaphorically', 'follow a procedure or take a course', 'move away from a place into another direction', 'enter or assume a certain state or condition', 'be awarded; be allotted', 'have a particular form', 'stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point', 'follow a certain course', 'be abolished or discarded', 'be or continue to be in a certain condition', 'make a certain noise or sound', 'perform as expected when applied', 'to be spent or finished', 'progress by being changed', 'continue to live and avoid dying', 'pass, fare, or elapse; of a certain state of affairs or action', 'pass from physical life and lose all bodily attributes and functions necessary to sustain life', 'be in the right place or situation', 'be ranked or compare', 'begin or set in motion', ""have a turn; make one's move in a game"", 'be contained in', 'be sounded, played, or expressed', 'blend or harmonize', 'lead, extend, or afford access', 'be the right size or shape; fit correctly or as desired', ""go through in search of something; search through someone's belongings in an unauthorized way"", 'be spent', 'give support (to', 'stop operating or functioning'], 'Adjective': ['functioning correctly and ready for action']}"
4,maestasque,Maurasque,
5,effundo,pour forth,
6,arrectus,railing,"{'Noun': ['a barrier consisting of a horizontal bar and supports', 'material for making rails or rails collectively'], 'Verb': ['complain bitterly', 'enclose with rails', 'provide with rails', 'separate with a railing', 'convey (goods etc.', 'travel by rail or train', 'lay with rails', 'fish with a handline over the rails of a boat', 'spread negative information about', 'criticize severely']}"
7,molaris,Molar,"{'Noun': ['grinding tooth with a broad crown; located behind the premolars'], 'Adjective': [""of or pertaining to the grinding teeth in the back of a mammal's mouth"", 'designating a solution containing one mole of solute per liter of solution', 'containing one mole of a substance', 'pertaining to large units of behavior']}"
8,aeneaequus,aenseaequus,
9,rutulusque,rutulusque,
10,conatus,tried,"{'Verb': ['make an effort or attempt', 'put to the test, as for its quality, or give experimental use to', 'put on trial or hear a case and sit as the judge at the trial of', 'take a sample of', 'examine or hear (evidence or a case', 'give pain or trouble to', 'test the limits of', 'melt (fat or lard', 'put on a garment in order to see whether it fits and looks nice'], 'Adjective': ['tested and proved useful or correct', 'tested and proved to be reliable']}"
11,tusco,tusco,
